code	char	evidence
0804	銀	白銀の車輪 (白★の車輪)
076F	貴	貴方に任せる (★方)
07A0	救	救いを求めている (★いを求め)
0E4A	買	まとめて買う (★う)
0E4B	売	クスリを売る店 (★る)
09C9	姿	姿を消した (★を消した)
0C5E	対	一対の車輪 (一★の)
0A59	修	阿修羅 (阿★羅)
0C4D	多	多数の呼称 (★数の呼称)
0BD9	選	半分選び取り (★び取り)
0DB7	働	汚して働く (★かねえと)
0CB9	値	価値はある (価★)
0867	決	決められずに (★められず)
0E79	抜	戦い抜く (単い★く)
09C6	士	勇敢なる戦士 (単★の魂)
0BF6	素	素材となる剣 (★材)
0F64	歩	地上を歩いた (★いた)
0F0D	負	背負い (背★い)
0F75	報	注意報 (注意★)
0A70	住	隔てて住む事 (★む事)
0B3C	進	昇進した (昇★)
1105	労	苦労した (苦★)
073E	館	彼女の館 (★に迎え入れる)
0BB3	説	説得に成功 (★得)
0FC9	毎	毎ターン (★ターン)
088E	険	危険レベル (危★)
07FB	緊	緊縛による攻撃 (★縛)
1072	葉	口先だけの言葉 (言★)
1063	容	収容所 (収★所)
10F2	裂	裂け目 (★け目)
0F2B	仏	仏教に帰依 (★教に帰依)
0FF3	夢	夢魔の女王リリス (★魔の女王)
1119	録	記録される (記★)
0BFE	創	万物の創造主 (万物の★造主)
088C	遣	派遣される (派★)
0F25	複	複数の敵 (★数の敵)
1054	遊	命をもて遊ぶ (もて★びたる)
10C1	療	治療・復活 (治★)
10E8	隷	奴隷になった (★になった)
0C91	奪	自由を奪い支配 (★い支配)
0E0D	認	確認して (確★)
0BB5	絶	拒絶され (拒★)
0EB6	費	MAGの消費 (消★)
0778	儀	儀式によって (★式)
0A25	捨	焼き捨て (焼き★て)
0CF2	徴	特徴 (特★)
0AB5	勝	勝者となり (★者)
0B8B	精	精霊であり (★霊)
1042	優	優美さ (★美さ)
0C9B	誰	誰でも従う (★でも)
1020	戻	取り戻し (取り★し)
093A	込	見込みがある (見★み)
0AB8	召	召喚する (★喚)
0F4E	別	別の悪魔 (★の悪魔)
0E74	発	発見される (★見)
0C11	早	早く何とか (★く)
05B0	闇	夜と闇を支配 (夜と★)
0664	仮	仮想空間 (★想空間)
0AEE	証	戦いの中で証明 (★明して)
1078	陽	太陽神アマテラス (太★神)
084F	継	継承されやすい (★承)
077F	犠	これ以上の犠牲 (★牲)
09F3	字	文字や宗教 (文★)
0F07	父	万物の父 (万物の★)
0E07	如	大日如来 (大日★来)
0F94	亡	死亡している (死★)
0CF4	挑	Aランクに挑んで (★んで)
0F63	捕	裏切者を捕らえ (★らえ)
0B83	晴	無念を晴らす (★らす)
0CC5	遅	動きが遅くなり (★く)
0782	義	尊厳と正義の天使 (正★)
1032	約	契約の天使 (契★)
0CD9	柱	火や雲の柱 (雲の★)
0D91	島	鹿島神宮 (鹿★神宮)
0C1D	総	回復の総量 (★量)
0C9E	嘆	嘆かわしい (★かわしい)
09CB	屍	その屍を乗りこえ (その★)
0B0B	穣	水と豊穣 (豊★)
0EB0	秘	秘密を知っていた (★密)
1057	雄	英雄ギルガメッシュ (英★)
0F8C	訪	冥界を訪れる (★れる)
0ECA	彦	山幸彦 (山幸★)
0CB0	団	軍団を差し向ける (軍★)
0B41	刃	我に刃をむけし者 (★をむけ)
096C	災	災いをなし罰を与え (★いをなし)
06E1	掛	2体を掛け合わせ (★け合わせ)
0DA4	答	答えてくれない (★えて)
0B1A	触	人に触れたくない (★れたくない)
0DC9	徳	死者の徳が高い (死者の★)
11BA	戮	殺戮と流血 (殺★)
10FD	錬	錬金術師パラケルスス (★金術師)
0B4E	須	必須な仲魔 (必★)
0CD5	宙	宇宙の大いなる意志 (宇★)
0BF2	礎	基礎能力 (基★)
1022	貰	味わって貰う (★う)
1066	揺	魂を揺さぶる歌 (★さぶる)
0762	機	数がわかる機能 (★能だ)
0738	鑑	鑑定屋は昨日 (★定屋)
09AA	参	飛び入り参加 (★加)
06C9	嚇	威嚇している (威★)
0DC4	銅	青銅のようにメタリック (青★)
0D13	槌	鉄槌ミョッルニル (鉄★)
0C2F	臓	死者の心臓と羽毛 (心★)
0814	食	子供をさらって食わせて (★わせて)
0916	鉱	宝石や鉱物を (★物)
07C7	凶	吉凶全てを表現 (吉★)
0C07	層	地下世界の最下層 (最下★)
0E20	悩	迷い悩みを打ちはらい (迷い★み)
096B	済	最後の審判で救済される (救★)
1123	鷲	牡牛獅子鷲青年の4つの顔 (★、青年)
1135	禊	禊をした時左の目から (★をした)
059A	葦	葦原中国平定 (★原中国)
0E26	農	農業の女神 (★業)
0C47	孫	天孫降臨の際 (天★降臨)
0D88	冬	季節では冬を (季節では★)
0DEE	謎	謎かけをしては (★かけ)
0A66	襲	処女は襲わず (★わず)
0DA7	統	天使の勤めを統率 (★率)
0ED4	媛	菊理媛と書き (菊理★)
10B5	旅	旅人の神 (★人の神)
0B84	棲	棲み潜む魂 (★み潜む)
0C45	揃	装備を揃えた (★えた)
09B7	賛	賞賛に値する (賞★)
07DD	興	貴女に興味がわきました (★味)
09DE	糸	運命の糸を断ち切って (運命の★)
0CF3	懲	破壊懲罰復讐死 (★罰)
0FF2	務	職務としている (職★)
07AC	糾	罪を犯した天使を糾弾 (★弾)
0C6C	袋	高天原の知恵袋的存在 (知恵★)
0CAF	鍛	鍛冶や金属加工 (★冶)
0E76	瞳	赤い瞳、まつげ (赤い★)
05A0	伝	知識を的確に伝える (★える)
110A	楼	門・楼閣の意味 (★閣)
0F5D	弁	弁舌と学問、音楽の女神 (★舌)
092E	植	樹木や植物を統べる竜 (★物)
1126	鰐	鰐の尾を持った河馬 (★の尾)
0937	惚	一目惚れし結婚 (一目★れ)
0C70	隊	対凶悪犯用特殊部隊 (部★)
0FED	脈	良い鉱脈の壁 (鉱★)
1122	枠	表示枠が広がった (表示★)
10BD	料	参加料はお返しできません (参加★)
07E3	驚	驚異のパーティー (★異)
0E21	濃	岩戸は信濃国 (信★国)
0886	県	現在の長野県 (長野★)
0D7B	賭	ナーガ族との賭けに負け (★に負け)
1138	咫	八咫烏と書く (八★烏)
1139	薔	薔薇色の飾り (★薇)
0E90	繁	幸運と繁栄を司る蓮の女神 (繁★)
0C79	鷹	空を飛べる鷹の翼 (★の翼)
0B9A	隻	北欧神話の隻眼の主神 (★眼)
0A22	遮	毘廬遮那 (毘廬★那)
1133	弉	伊弉冉尊 (伊★冉尊)
0EF1	瀕	死に瀕した際 (死に★した)
11D9	熾	階級上位一位の熾天使 (一位の★天使)
0D84	奴	奴隷になった母を助け (★隷)
103D	癒	傷も癒すことのできる不死身 (★す)
0850	繋	二頭の山羊を繋いだ戦車 (★いだ)
0A38	釈	帝釈天となり四天王の長 (帝★天)
07F9	禽	ライオンの体と猛禽類の翼 (猛★類)
1141	蜴	小さな火蜥蜴 (火蜥★)
0EC9	髭	老人のような顔で髭の生えた (★の生えた)
10B4	慮	傲慢で思慮に欠けている (思★)
1079	養	子を養う為に人間の子供を (★う)
0D6F	兎	因幡の白兎 (白★)
11C4	憑	里人に憑依し朝廷に (★依)
0CEB	寵	恩寵の天使 (恩★)
11B8	贄	生け贄にされようとして (生け★)
1009	綿	大綿津見神 (大★津見神)
11EC	獰	気性は獰猛で人を見ると噛み (★猛)
1146	驕	驕り高ぶり仏道から外れ (★り高ぶり)
0D0D	賃	カロンへの船賃として銅貨 (船★)
061B	鋭	鋭い牙と爪をもって (★い牙)
1147	魑	魑魅又は木霊と書く (★魅)
