code	char	left	ink	adv
0001	、	0	3	4
0002	。	0	4	5
0004	.	1	2	3
0005	・	4	2	3
0006	：	4	2	3
0007	;	4	2	3
0008	？	3	5	6
0009	！	5	1	2
000F	ћ	1	10	11
0010	￣	0	12	13
0011	_	0	12	13
0018	々	2	6	7
0019	〆	0	10	11
001A	〇	0	11	12
001B	ー	1	9	10
001C	―	0	12	13
001D	‐	4	3	4
001E	／	0	11	12
001F	\	0	11	12
0020	〜	0	11	12
0021	‖	3	4	5
0022	｜	5	1	2
0023	…	0	10	11
0024	‥	1	8	9
0026	’	1	2	3
0027	“	6	5	6
0028	”	0	5	6
0029	（	7	4	5
002A	）	0	4	5
002B	〔	7	4	5
002C	〕	0	4	5
002D	［	8	3	4
002E	］	0	3	4
002F	｛	7	4	5
0030	｝	0	4	5
0031	〈	7	4	5
0032	〉	0	4	5
0033	《	6	5	6
0034	》	0	5	6
0035	「	7	4	5
0036	」	0	4	5
0037	『	6	5	6
0038	』	0	5	6
0039	【	7	4	5
003A	】	0	4	5
003B	＋	2	7	8
003C	－	2	7	8
003D	±	2	7	8
003E	×	2	7	8
003F	　	0	0	5
0040	÷	1	9	10
0041	＝	1	9	10
0042	≠	1	8	9
0043	<	1	8	9
0044	＞	2	8	9
0045	≤	2	7	8
0046	≥	2	7	8
0047	∞	0	11	12
0048	∴	2	7	8
0049	♂	1	9	10
004A	♀	2	7	8
