id_hex,id,rom,name,kind,race,race_name,level,hp,f04,str,int,mag,vit,agi,luk,f0c,f0d,f0e,f11,f1a,f1c,skills,f30
0x000,0,0x0819cb74,Satan,,1,Herald,99,999,659,30,22,24,24,28,20,10,137,27 01 03,1285921aff3eff0858,255,93d00f000052,18e 198 1cd,0000320b4e080500310ec30f00000000000000000000
0x001,1,0x0819cbd4,Metatron,,1,Herald,68,840,236,23,18,22,12,16,10,10,135,0f 01 07,12925c7b1cffff1252,77,938c02002050,1bb 198 1a1 1c7 1cd,0000e30b5c0c530d4601cf071f010000000000000000
0x002,2,0x0819cc34,Kamael,,1,Herald,64,900,211,25,10,10,20,18,10,10,135,24 01 07,9285732dff3dff0a52,75,938604002051,184 1b7 181 1c5,0000310ec30f05002c0f9b104601cf071f0100000000
0x003,3,0x0819cc94,Sariel,,1,Herald,59,810,271,18,12,15,14,15,12,10,134,25 01 03,5d1b1a1cff3fff1252,233,938208002051,18e 1c4 181 1c5,0000310ec30f6d01f40fd70800000000000000000000
0x004,4,0x0819ccf4,Kushiel,,1,Herald,52,588,277,18,12,18,8,15,7,10,135,25 01 07,1c07235388ffff1452,74,937709003052,188 190 181 1c5,0000310ec30f6d01f40fd70800000000000000000000
0x005,5,0x0819cd54,Ophanim,,1,Herald,47,593,210,15,12,13,12,10,9,10,23,25 08 0a,0901050dffffff0252,249,936d08003050,183 1ae 17a 1a4 1ba,0000310ec30f6d01f40fd70800000000000000000000
0x006,6,0x0819cdb4,Raguel,,1,Herald,40,450,169,13,10,12,10,9,9,10,135,25 00 07,01155c21ff36ff0810,255,91600a000010,1c3 189 181 1c5,0000310ec30f6d01f40fd70800000000000000000000
0x007,7,0x0819ce14,Haniel,,1,Herald,37,346,174,8,12,13,9,10,8,10,135,25 00 00,0b1c172fffffff0210,255,915a09000010,1a8 1a4 181 1c5,0000310ec30f6d01f40fd70800000000000000000000
0x008,8,0x0819ce74,Tzaphkiel,,1,Herald,32,286,162,4,12,14,10,8,7,10,135,25 00 00,0f324217ffffff0510,255,915104000010,18f 1ae 186 181 1c5,0000310ec30f6d01f40fd70800000000000000000000
0x009,9,0x0819ced4,Remiel,,1,Herald,28,295,107,13,7,9,7,8,6,10,135,25 00 00,1b1c017b32ffff0310,255,914905000010,1c3 1b8 181 1c5,0000310ec30f6d01f40fd70800000000000000000000
0x00a,10,0x0819cf34,Amaterasu,,2,Amatsukami,59,841,328,18,12,18,15,13,10,10,128,27 04 07,12031c2fff37ff0854,109,937b0f003820,17b 1b7 19f 1c3 192,0000320b4e080500310ec30f00000000000000000000
0x00b,11,0x0819cf94,Tsukuyomi,,2,Amatsukami,54,465,343,10,14,21,11,13,10,10,133,26 05 07,18530f1aff3eff0255,78,937009003811,19d 188 1c2 1b8,0000c30f810f6d01840e240a00000000000000000000
0x00c,12,0x0819cff4,Takemikazuchi,,2,Amatsukami,48,720,167,20,7,11,13,12,7,10,136,21 01 07,090a0b21ff3bff0a55,76,936a02003812,198 18a 1b8 184 19e 19a,00006e0d6108840e240a000000000000000000000000
0x00d,13,0x0819d054,Hinokagutsuchi,,2,Amatsukami,44,554,185,15,9,13,12,11,8,10,136,18 00 03,01035a97ffffff1057,255,936304003812,1ab 1a7 184 189 19d 19a,0000760632069c07540a000000000000000000000000
0x00e,14,0x0819d0b4,Omoikane,,2,Amatsukami,38,169,123,4,15,14,5,13,9,10,139,23 01 00,2a230f18ffffff0210,255,915806005a11,183 1bc 17d 184 1a6,0000c30f810f9c07540a000000000000000000000000
0x00f,15,0x0819d114,Tajikarao,,2,Amatsukami,33,416,67,15,5,6,12,9,8,10,129,24 00 00,8387888fffffff0510,255,914f0a005a00,198 19b 184 1c3 183,0000310ec30f05002c0f9b104601cf071f0100000000
0x010,16,0x0819d174,Ameno Torifune,,2,Amatsukami,29,209,90,10,8,9,6,11,7,10,128,0e 00 00,0f3b3a3c7dffff0810,255,914804005a03,17b 1bb 1a7 1a1 1c4 1ae 1a6,0000310ec30f05004d0a9e0900000000000000000000
0x011,17,0x0819d1d4,Garuda,,3,Avian,49,550,162,13,9,11,13,18,9,10,135,0e 04 05,7b6d215bffffff0c53,238,936204003811,185 1c5 01b 199,0000310ec30f05004d0a9e0900000000000000000000
0x012,18,0x0819d234,Suzaku,,3,Avian,41,340,137,10,9,11,9,15,9,10,135,1d 04 00,48884b7bffffff0c10,255,91560a005a21,192 18f 188,00004d0a9e090500c30fcb1046013c0a2a0100000000
0x013,19,0x0819d294,Yatagarasu,,3,Avian,31,230,106,10,9,11,7,12,5,10,128,18 06 00,6d7b0103ffffff0c10,255,914602005a12,1be 198 185 1c3 192,0000760632069c07540a000000000000000000000000
0x014,20,0x0819d2f4,Phoenix,,3,Avian,22,112,69,5,7,10,5,12,5,10,135,18 01 00,4b1c3621ffffff0510,255,913702005a03,1ae 180 1a4 19c 188 192,0000760632069c07540a000000000000000000000000
0x015,21,0x0819d354,Suparna,,3,Avian,15,70,34,4,4,6,4,12,6,10,135,10 01 00,3334322cffffff0610,255,912c07005a03,192 1aa 1c5 1a3,00008501cd01b305b406490100000000000000000000
0x016,22,0x0819d3b4,Lakshmi,,4,Megami,52,443,288,11,11,14,10,12,30,127,131,25 04 00,44302535ff37ff0a53,234,935404003821,1c3 188 190 1bf 1b8,0000310ec30f6d01f40fd70800000000000000000000
0x017,23,0x0819d414,Parvati,,4,Megami,45,394,322,9,12,18,10,10,9,127,131,25 04 00,072d463024ffff0555,231,934f03003821,1aa 01b 1c5 1ce 17a 19f 17c,0000310ec30f6d01f40fd70800000000000000000000
0x018,24,0x0819d474,Freya,,4,Megami,39,302,246,9,9,16,8,7,12,127,131,25 07 00,17133e3f24ffff0a10,255,914709005a21,1ae 1c6 17d 17b,0000310ec30f6d01f40fd70800000000000000000000
0x019,25,0x0819d4d4,Sarasvati,,4,Megami,35,228,219,5,12,14,8,10,8,127,131,25 01 00,27292a2f32ffff0210,255,914206005a20,18e 1c3 192 1ce 17a 19f 17c,0000310ec30f6d01f40fd70800000000000000000000
0x01a,26,0x0819d534,Arianrhod,,4,Megami,27,204,121,11,7,9,6,10,6,127,133,24 08 00,911b342fffffff1410,255,913704005a20,17b 1c4 17b 1cd 1c7 19c 1a2,0000310ec30f05002c0f9b104601cf071f0100000000
