lo,hi,bytes,glyphs,terms,inbound_ptrs,base_referenced,sample
08792456,08794CE0,10378,2333,1020,5,False,喰□喰;
0872E228,0872F234,4108,728,967,3,False,救健□具□倦
084D8E3E,084D9CD8,3738,289,1419,4,False,契□契
087F26DA,087F2BB0,1238,192,325,8,False,　正□　　蔵前　喜章
081BA6DC,081BA7D2,246,115,8,0,False,ぁあぃい、、、、
08110A4C,08110BCC,384,112,48,6,True,邪具
0856D346,0856D96C,1574,108,571,1,False,繋□繋
08161A2E,08161E0C,990,94,321,1,False,空□空□空、
08161E2E,0816220C,990,94,321,1,False,空□空□空、
087F2400,087F254C,332,87,76,7,True,　　　後□　□司
081BA7FC,081BAC0E,1042,86,414,1,False,ァアィイゥウェエォオカガキギクグケゲコゴ、、、、
084F984C,084F9906,186,86,6,0,False,ァアィイゥウェエォオカガ
084F9784,084F9836,178,83,6,0,False,ぁあぃいぅうぇえぉおかがきぎくぐ
081B85E6,081B8694,174,80,6,0,False,ァア餌
084D7BAE,084D80C4,1302,72,526,1,False,稽□稽□刑
084D552E,084D5974,1094,68,425,2,False,稽□稽□兄
081B8868,081B88F0,136,62,6,1,False,あ餌
08583BD6,08583D64,398,60,88,3,False,躯□躯
