addr,nrefs,ref_sites,frac,glyphs,sample
081A5A6C,4,080C0358 080C03A4 080C03CC 080C041C,1.0,80,　！♂♀&＋－.／0123456789？〜・@ABCDEFGHIJKLMNOPQRSTUVWXY
08050C14,2,084CB260 08588B04,1.0,4,·”綜九
08057602,2,084D2460 084EE35C,0.93,80,□？·√□九·≫□九·≪□九·◇□九声：/誰だ！？/サタンを倒したのは？/我が下へ来て　姿を見せ
0805A920,2,0805A8DC 0805A8E0,0.86,80,"·謹□□九,□九∧□九∨□九-□九.□九S□九0□九∡□九··□九·悪魔は成長することがない··"
084F2DDC,2,080D17BC 080D18B8,1.0,80,あいうえお　はひふへほかきくけこ　まみむめもさしすせそ　や　ゆ　よたちつてと　らりるれろなにぬね
08003254,1,08460CB4,1.0,10,ハエに　かえられた·
08003332,1,084C4DD0,1.0,11,　魔法を　封じられた·
080423AC,1,0804238C,0.86,80,"□★·□銀·,□銀·□□銀□%·□銀□@·□銀□○·□銀··スーパー27は/1ゲーム　1コイン·"
080423B6,1,0804231C,0.89,80,"·,□銀·□□銀□%·□銀□@·□銀□○·□銀··スーパー27は/1ゲーム　1コイン··このスロ"
08050428,1,084CB03C,0.89,9,□？·［廻九·∪·
080508E0,1,084CB1E8,0.91,11,·∈·∨□？·〕阻九·
08050942,1,08050938,0.89,80,·⇒□、査九·嫉九·⇔□、彩九·嫉九·∡□、剤九·嫉九·∃□、咋九·嫉九·□□、擦九·嫉九·□□
08050948,1,082CB92C,0.9,80,、査九·嫉九·⇔□、彩九·嫉九·∡□、剤九·嫉九·∃□、咋九·嫉九·□□、擦九·嫉九·□□、散九
08050966,1,0805095C,0.91,80,·∡□、剤九·嫉九·∃□、咋九·嫉九·□□、擦九·嫉九·□□、散九·嫉九·∨□：/私は　妖精の王
08051066,1,084CB718,1.0,4,·）羊九
080548BC,1,084C91FC,0.93,80,·Å·‰·♯·∋·●□九·∞□九·＝□九·、【□·｛·□九·、づ□·｛·＞誰かが　ここで/魔界へ
080554B6,1,087DF7B0,0.88,80,·∋□〕·▽□九·◇□九·⊆□九·◆□九·●□九·、Å□·⊂＞セトは封印され/眠りについている·
0805A928,1,086D0E84,0.89,80,"九,□九∧□九∨□九-□九.□九S□九0□九∡□九··□九·悪魔は成長することがない··そこでよ"
08067D92,1,08067D84,0.89,54,·∇□倶·’·□倶·□□、□倶·’·□倶·∈声：/おい　おまえ/·　じゃないか？/オレだ　オレだ
080734BE,1,080734B4,0.9,80,·□□句·□句·：□句·□句·・□句·;□句岡本：/いつまで　ブラブラしてやがる！/決勝戦の日は
08073AA8,1,080AF8C8,0.85,80,□》·□句□〈·□句□〉·□句□《·□句□｝·□句＞とてつもなく恐ろしい/悪魔の気配がする……·
0807CC7E,1,0807CB5C,0.88,80,□i·○□句·★□句·☆□句·§□句·□句·□句·□句·□句·、·あら　お金がたりないわねぇ/も
0808A92A,1,0808A844,0.85,80,□：□区□⌒··□★/□□···/｝□区￣□区□□区＝□区□￣□区·(·高らかに/歌声がひびきわ
0815BFEA,1,080CF2C4,1.0,32,抽出するのに/メモリーチップ　0枚と/ћ1　かかるが/いいかい？
0815C0AA,1,080CF2C0,1.0,25,この悪魔を還元するのに/ћ1　かかるが/いいかい？
08343434,1,083A81CC,1.0,4,D→ぅ勲
084D08A0,1,084E81F4,0.87,15,？？迷dddう□惑□妄聾毛炉d
084D0B14,1,084E86C4,0.86,21,？？□迷d_□_炉t篭妄聾妄聾□d_迷c、
084F20A8,1,080D03A0,1.0,24,NEW　GAME@@@@@@@@カテドラルカオス
084FA860,1,080D5F1C,1.0,80,銘銘銘銘銘銘銘銘銘銘銘銘銘銘銘銘銘銘銘銘銘銘銘銘銘銘銘銘銘銘銘銘鳴鳴鳴鳴鳴鳴鳴鳴鳴鳴鳴鳴鳴鳴鳴鳴
