finding,addr,entry_or_via,glyphs,n,sample
interior-target,08037524,080373B6,,,倦狗賢狗固狗悟狗孝狗硬狗壕狗瑳狗歳狗肴狗殺狗讃狗施狗似狗七狗遮狗受狗蹴狗戎狗熟狗
interior-target,0803754A,08037550,,,迷い　悩みし時に来なさい{WAIT}
interior-target,0803756C,08037574,,,ヴァーチャル・バトルを{n}しなさい・・・{WAIT}
interior-target,0803759E,080375A6,,,街を歩いてみなさい{WAIT}{PAGE}そなたに会いたがっている{n}男がいま
interior-target,08037620,08037628,,,今　そなたに選択の道は少ない{n}{WAIT}{PAGE}成すべき事はただ一つ{
interior-target,08037672,0803767A,,,誰かがそなたに会いたがっている{n}・・・・・・{n}{WAIT}{PAGE}こ
interior-target,080376F2,080376FA,,,そなたの向かうべき道は{n}北西にあります{n}{WAIT}{PAGE}そこの・
interior-target,0803774A,08037752,,,そなたが成し遂げたことを{n}報告すべきでしょう{n}{WAIT}{PAGE}北
interior-target,0803779C,080377C0,,,そなたは使命を受けているはず{WAIT}{PAGE}センタービルより西の方角・・
interior-target,080377B2,080377C0,,,そなたは使命を受けているはず{WAIT}{PAGE}センタービルより西の方角・・
interior-target,08037954,0803795C,,,そなたが成し遂げたことを{n}報告するべきでしょう{WAIT}{PAGE}伝えて
interior-target,080379AE,080379D2,,,そなたは使命を受けたのです{n}{WAIT}{PAGE}センタービルより南の方角
interior-target,080379C4,080379D2,,,そなたは使命を受けたのです{n}{WAIT}{PAGE}センタービルより南の方角
interior-target,08037B7C,08037B84,,,そなたが成し遂げたことを{n}報告するべきです{n}{WAIT}{PAGE}伝え
interior-target,08037BD6,08037BDE,,,そなたが会うべき人物は{n}センタービルより東の方角{n}アルカディアの方向にい
interior-target,08037C88,08037C90,,,そなたは会うべき人物に{n}すでに会ったのでしょう{n}{WAIT}{PAGE}
interior-target,08037CF8,08037D00,,,そなたの偽者を目指しなさい{n}{WAIT}{PAGE}話はセンタービルの西方向
interior-target,08037DA2,08037DAA,,,センタービルより北の汚れた街へ{n}向かいなさい{n}{WAIT}{PAGE}そ
interior-target,08037E2C,08037E34,,,センタービルより北の場所と{n}彼方の地を結ぶ道で男を捜し{n}その話を聞きなさ
interior-target,08037E84,08037E8C,,,そなたに使命を依頼した男に{n}結果を伝えに行くべきでしょう{n}{WAIT}
interior-target,08037ECA,08037ED2,,,センタービルより西の地で{n}話を聞きなさい{n}{WAIT}{PAGE}そなた
interior-target,08037F3E,08037F46,,,地の底深くに眠る古の都へ{n}向かいなさい{n}{WAIT}{PAGE}そなたの
interior-target,08037F9E,08037FAE,,,探してる者がいるのですか？{n}{WAIT}{PAGE}その者が現れたあたりで{
interior-target,08038042,0803804A,,,そなたの道はロッポンギから{n}開かれています{n}{WAIT}{PAGE}そこ
interior-target,08038218,08038220,,,そなたに使命を願った男に{n}会いなさい{WAIT}
interior-target,08038248,08038250,,,目的は叶えられたのでしょう{n}{WAIT}{PAGE}されば旧ロッポンギ北東へ
interior-target,0803829C,080382A4,,,そなたには使命があるはずです{n}封印の地の深き場所にて{n}古の神々を助け出す
